,Time,Values
812,0.406,1.217008798
813,0.4065,1.173020528
814,0.407,1.138807429
815,0.4075,1.109481916
816,0.408,1.089931574
817,0.4085,1.089931574
818,0.409,1.10459433
819,0.4095,1.119257087
820,0.41,1.109481916
821,0.4105,1.114369501
822,0.411,1.207233627
823,0.4115,1.319648094
824,0.412,1.368523949
825,0.4125,1.388074291
826,0.413,1.37829912
827,0.4135,1.339198436
828,0.414,1.304985337
829,0.4145,1.290322581
830,0.415,1.265884653
831,0.4155,1.260997067
832,0.416,1.285434995
833,0.4165,1.319648094
834,0.417,1.324535679
835,0.4175,1.309872923
836,0.418,1.290322581
837,0.4185,1.285434995
838,0.419,1.28054741
839,0.4195,1.260997067
840,0.42,1.231671554
841,0.4205,1.217008798
842,0.421,1.221896383
843,0.4215,1.246334311
844,0.422,1.260997067
845,0.4225,1.23655914
846,0.423,1.202346041
847,0.4235,1.182795699
848,0.424,1.168132942
849,0.4245,1.202346041
850,0.425,1.226783969
851,0.4255,1.197458456
852,0.426,1.168132942
853,0.4265,1.1485826
854,0.427,1.133919844
855,0.4275,1.129032258
856,0.428,1.138807429
857,0.4285,1.133919844
858,0.429,1.1485826
859,0.4295,1.19257087
860,0.43,1.217008798
861,0.4305,1.221896383
862,0.431,1.23655914
863,0.4315,1.260997067
864,0.432,1.285434995
865,0.4325,1.290322581
866,0.433,1.295210166
867,0.4335,1.300097752
868,0.434,1.295210166
869,0.4345,1.270772239
870,0.435,1.246334311
871,0.4355,1.241446725
872,0.436,1.241446725
873,0.4365,1.221896383
874,0.437,1.187683284
875,0.4375,1.153470186
876,0.438,1.168132942
877,0.4385,1.212121212
878,0.439,1.221896383
879,0.4395,1.212121212
880,0.44,1.187683284
881,0.4405,1.163245357
882,0.441,1.158357771
883,0.4415,1.182795699
884,0.442,1.202346041
885,0.4425,1.226783969
886,0.443,1.260997067
887,0.4435,1.295210166
888,0.444,1.324535679
889,0.4445,1.329423265
890,0.445,1.33431085
891,0.4455,1.33431085
892,0.446,1.329423265
893,0.4465,1.33431085
894,0.447,1.363636364
895,0.4475,1.388074291
896,0.448,1.388074291
897,0.4485,1.368523949
898,0.449,1.33431085
899,0.4495,1.300097752
900,0.45,1.285434995
901,0.4505,1.275659824
902,0.451,1.251221896
903,0.4515,1.260997067
904,0.452,1.285434995
905,0.4525,1.290322581
906,0.453,1.314760508
907,0.4535,1.339198436
908,0.454,1.344086022
909,0.4545,1.33431085
910,0.455,1.295210166
911,0.4555,1.246334311
912,0.456,1.231671554
913,0.4565,1.23655914
914,0.457,1.226783969
915,0.4575,1.202346041
916,0.458,1.187683284
917,0.4585,1.197458456
918,0.459,1.226783969
919,0.4595,1.241446725
920,0.46,1.226783969
921,0.4605,1.207233627
922,0.461,1.207233627
923,0.4615,1.212121212
924,0.462,1.221896383
925,0.4625,1.221896383
926,0.463,1.221896383
927,0.4635,1.231671554
928,0.464,1.23655914
